2016-07-01 16:45:51.8381 | DEBUG | Preloaded all referenced assemblies with System.Web.Compilation.BuildManager.GetReferencedAssemblies() | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IInspector of type 'Glimpse.Mvc.Inspector.ModelBinderInspector' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IInspector of type 'Glimpse.Mvc.Inspector.ViewEngineInspector' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovering IResource's in 'C:\Windows\Microsoft.NET\Framework\v4.0.30319\Temporary ASP.NET Files\root\bb07f263\e24c5d76' and all sub directories. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.AjaxResource' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.ClientResource' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.ConfigurationResource' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.ConfigurationScriptResource' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.ConfigurationStyleResource' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.HistoryResource' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.LogoResource' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.LogosResource' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.MetadataResource' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.PopupRedirectResource' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.PopupResource' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.RequestResource' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.SpriteResource' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.VersionCheckResource' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovering ISerializationConverter's in 'C:\Windows\Microsoft.NET\Framework\v4.0.30319\Temporary ASP.NET Files\root\bb07f263\e24c5d76' and all sub directories. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.AspNet.SerializationConverter.ConfigurationModelConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.AspNet.SerializationConverter.ConfigurationRoleManagerProviderSettingsModelConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.AspNet.SerializationConverter.EnvironmentModelConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.AspNet.SerializationConverter.ListOfRouteModelConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.AspNet.SerializationConverter.RequestModelConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.AspNet.SerializationConverter.SessionModelConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.CSharpTypeConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.DateTimeConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.EnumerableOfITimelineMessageConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.GlimpseMetadataConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.GlimpseRequestConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.GlimpseRequestHeadersConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.ListOfTraceMessageConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.MethodInfoConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.TabMetadataConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.TabResultConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.TimelineEventModelConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.TimeSpanConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Mvc.SerializationConverter.CultureConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Mvc.SerializationConverter.ListOfExecutionModelConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Mvc.SerializationConverter.ListOfMetadataItemModelConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Mvc.SerializationConverter.ListOfViewsModelConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Mvc.SerializationConverter.MvcDisplayModelConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Mvc.SerializationConverter.UrlParameterConverter' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovering ITab's in 'C:\Windows\Microsoft.NET\Framework\v4.0.30319\Temporary ASP.NET Files\root\bb07f263\e24c5d76' and all sub directories. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.Ado.Tab.SQL' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.AspNet.Tab.Cache' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.AspNet.Tab.Configuration' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.AspNet.Tab.Environment' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.AspNet.Tab.Request' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.AspNet.Tab.Routes' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.AspNet.Tab.Server' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.AspNet.Tab.Session' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.Autofac.AutofacGlimpsePlugin' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.Core.Tab.Timeline' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.Core.Tab.Trace' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.Elmah.Plugin' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.Mvc.Tab.Execution' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.Mvc.Tab.Metadata' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.Mvc.Tab.ModelBinding' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered ITab of type 'Glimpse.Mvc.Tab.Views' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovering IDisplay's in 'C:\Windows\Microsoft.NET\Framework\v4.0.30319\Temporary ASP.NET Files\root\bb07f263\e24c5d76' and all sub directories. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IDisplay of type 'Glimpse.Ado.Display.SqlDisplay' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IDisplay of type 'Glimpse.AspNet.Display.EnvironmentDisplay' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IDisplay of type 'Glimpse.Core.Display.TimingsDisplay' and added it to collection. | 
2016-07-01 16:45:53.8411 | DEBUG | Discovered IDisplay of type 'Glimpse.Mvc.Display.MvcDisplay' and added it to collection. | 
2016-07-01 16:45:53.8611 | DEBUG | Discovering IRuntimePolicy's in 'C:\Windows\Microsoft.NET\Framework\v4.0.30319\Temporary ASP.NET Files\root\bb07f263\e24c5d76' and all sub directories. | 
2016-07-01 16:45:53.8611 | DEBUG | Discovered IRuntimePolicy of type 'Glimpse.Core.Policy.AjaxPolicy' and added it to collection. | 
2016-07-01 16:45:53.8611 | DEBUG | Discovered IRuntimePolicy of type 'Glimpse.Core.Policy.ContentTypePolicy' and added it to collection. | 
2016-07-01 16:45:53.8611 | DEBUG | Discovered IRuntimePolicy of type 'Glimpse.Core.Policy.GlimpseResourcePolicy' and added it to collection. | 
2016-07-01 16:45:53.8611 | DEBUG | Discovered IRuntimePolicy of type 'Glimpse.Core.Policy.StatusCodePolicy' and added it to collection. | 
2016-07-01 16:45:53.8611 | DEBUG | Discovered IRuntimePolicy of type 'Glimpse.Core.Policy.UriPolicy' and added it to collection. | 
2016-07-01 16:45:53.8611 | DEBUG | Discovered IRuntimePolicy of type 'QK.QAPP.SalesCenter.GlimpseSecurityPolicy' and added it to collection. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<PersistMessages>b__0' on type 'Glimpse.Core.Extensions.TabContextExtensions+<>c__DisplayClass1`1[Glimpse.Ado.Message.AdoMessage]' has been subscribed to all 'Glimpse.Ado.Message.AdoMessage' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<PersistMessages>b__0' on type 'Glimpse.Core.Extensions.TabContextExtensions+<>c__DisplayClass1`1[Glimpse.Core.Message.ITimelineMessage]' has been subscribed to all 'Glimpse.Core.Message.ITimelineMessage' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<Setup>b__0' on type 'Glimpse.Mvc.Display.MvcDisplay+<>c__DisplayClass4' has been subscribed to all 'Glimpse.Mvc.AlternateType.ActionInvoker+InvokeActionMethod+Message' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<Setup>b__1' on type 'Glimpse.Mvc.Display.MvcDisplay+<>c__DisplayClass4' has been subscribed to all 'Glimpse.Mvc.AlternateType.ViewEngine+FindViews+Message' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<Setup>b__2' on type 'Glimpse.Mvc.Display.MvcDisplay+<>c__DisplayClass4' has been subscribed to all 'Glimpse.Mvc.AlternateType.View+Render+Message' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<Setup>b__3' on type 'Glimpse.Mvc.Display.MvcDisplay+<>c__DisplayClass4' has been subscribed to all 'Glimpse.AspNet.AlternateType.RouteBase+GetRouteData+Message' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<PersistMessages>b__0' on type 'Glimpse.Core.Extensions.TabContextExtensions+<>c__DisplayClass1`1[Glimpse.Ado.Message.AdoMessage]' has been subscribed to all 'Glimpse.Ado.Message.AdoMessage' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<PersistMessages>b__0' on type 'Glimpse.Core.Extensions.TabContextExtensions+<>c__DisplayClass1`1[Glimpse.AspNet.Message.ProcessConstraintMessage]' has been subscribed to all 'Glimpse.AspNet.Message.ProcessConstraintMessage' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<PersistMessages>b__0' on type 'Glimpse.Core.Extensions.TabContextExtensions+<>c__DisplayClass1`1[Glimpse.AspNet.Message.RouteDataMessage]' has been subscribed to all 'Glimpse.AspNet.Message.RouteDataMessage' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<PersistMessages>b__0' on type 'Glimpse.Core.Extensions.TabContextExtensions+<>c__DisplayClass1`1[Glimpse.Core.Message.ITimelineMessage]' has been subscribed to all 'Glimpse.Core.Message.ITimelineMessage' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<PersistMessages>b__0' on type 'Glimpse.Core.Extensions.TabContextExtensions+<>c__DisplayClass1`1[Glimpse.Core.Message.ITraceMessage]' has been subscribed to all 'Glimpse.Core.Message.ITraceMessage' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<PersistMessages>b__0' on type 'Glimpse.Core.Extensions.TabContextExtensions+<>c__DisplayClass1`1[Glimpse.Mvc.Message.IExecutionMessage]' has been subscribed to all 'Glimpse.Mvc.Message.IExecutionMessage' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<PersistMessages>b__0' on type 'Glimpse.Core.Extensions.TabContextExtensions+<>c__DisplayClass1`1[Glimpse.Mvc.AlternateType.View+Render+Message]' has been subscribed to all 'Glimpse.Mvc.AlternateType.View+Render+Message' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<Setup>b__5' on type 'Glimpse.Mvc.Tab.ModelBinding+<>c__DisplayClassd' has been subscribed to all 'Glimpse.Mvc.AlternateType.ValueProvider`1+ContainsPrefix+Message[System.Web.Mvc.IUnvalidatedValueProvider]' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<Setup>b__6' on type 'Glimpse.Mvc.Tab.ModelBinding+<>c__DisplayClassd' has been subscribed to all 'Glimpse.Mvc.AlternateType.ValueProvider`1+ContainsPrefix+Message[System.Web.Mvc.IValueProvider]' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<Setup>b__7' on type 'Glimpse.Mvc.Tab.ModelBinding+<>c__DisplayClassd' has been subscribed to all 'Glimpse.Mvc.AlternateType.ValueProvider`1+GetValue+Message[System.Web.Mvc.IUnvalidatedValueProvider]' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<Setup>b__8' on type 'Glimpse.Mvc.Tab.ModelBinding+<>c__DisplayClassd' has been subscribed to all 'Glimpse.Mvc.AlternateType.ValueProvider`1+GetValue+Message[System.Web.Mvc.IValueProvider]' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<Setup>b__9' on type 'Glimpse.Mvc.Tab.ModelBinding+<>c__DisplayClassd' has been subscribed to all 'Glimpse.Mvc.AlternateType.ModelBinder+BindModel+Message' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<Setup>b__a' on type 'Glimpse.Mvc.Tab.ModelBinding+<>c__DisplayClassd' has been subscribed to all 'Glimpse.Mvc.AlternateType.ModelBinder+BindProperty+Message' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<Setup>b__b' on type 'Glimpse.Mvc.Tab.ModelBinding+<>c__DisplayClassd' has been subscribed to all 'Glimpse.Mvc.AlternateType.ValueProvider`1+GetValue+Message[System.Web.Mvc.IEnumerableValueProvider]' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<Setup>b__c' on type 'Glimpse.Mvc.Tab.ModelBinding+<>c__DisplayClassd' has been subscribed to all 'Glimpse.Mvc.AlternateType.ValueProvider`1+ContainsPrefix+Message[System.Web.Mvc.IEnumerableValueProvider]' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<PersistMessages>b__0' on type 'Glimpse.Core.Extensions.TabContextExtensions+<>c__DisplayClass1`1[Glimpse.Mvc.AlternateType.ViewEngine+FindViews+Message]' has been subscribed to all 'Glimpse.Mvc.AlternateType.ViewEngine+FindViews+Message' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Method '<PersistMessages>b__0' on type 'Glimpse.Core.Extensions.TabContextExtensions+<>c__DisplayClass1`1[Glimpse.Mvc.AlternateType.View+Render+Message]' has been subscribed to all 'Glimpse.Mvc.AlternateType.View+Render+Message' messages. | 
2016-07-01 16:45:53.8711 | DEBUG | Setup IInspector of type 'Glimpse.Ado.Inspector.AdoInspector'. | 
2016-07-01 16:45:53.8911 | DEBUG | get_Constraints method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.8911 | DEBUG | set_Constraints method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.8911 | DEBUG | get_DataTokens method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.8911 | DEBUG | set_DataTokens method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.8911 | DEBUG | get_Defaults method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.8911 | DEBUG | set_Defaults method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.8911 | DEBUG | get_RouteHandler method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.8911 | DEBUG | set_RouteHandler method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.8911 | DEBUG | get_Url method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.8911 | DEBUG | set_Url method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.8911 | DEBUG | get_RouteExistingFiles method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.8911 | DEBUG | set_RouteExistingFiles method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9011 | DEBUG | _url method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9011 | DEBUG | _parsedRoute method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9011 | DEBUG | HttpMethodParameterName method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9011 | DEBUG | _routeExistingFiles method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9011 | DEBUG | Methods inspected via proxy generation hook on type 'System.Web.Routing.Route'. | 
2016-07-01 16:45:53.9511 | INFO | Replaced Route of type 'System.Web.Mvc.RouteCollectionExtensions+IgnoreRouteInternal' with proxy implementation. | 
2016-07-01 16:45:53.9511 | DEBUG | get_Constraints method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9511 | DEBUG | set_Constraints method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9511 | DEBUG | get_DataTokens method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9511 | DEBUG | set_DataTokens method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9511 | DEBUG | get_Defaults method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9511 | DEBUG | set_Defaults method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9511 | DEBUG | get_RouteHandler method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9511 | DEBUG | set_RouteHandler method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9511 | DEBUG | get_Url method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9511 | DEBUG | set_Url method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9511 | DEBUG | get_RouteExistingFiles method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9511 | DEBUG | set_RouteExistingFiles method of type 'System.Web.Routing.Route' is not proxyable. | 
2016-07-01 16:45:53.9511 | DEBUG | Methods inspected via proxy generation hook on type 'System.Web.Routing.Route'. | 
2016-07-01 16:45:53.9511 | INFO | Replaced Route of type 'System.Web.Routing.Route' with proxy implementation. | 
2016-07-01 16:45:53.9511 | DEBUG | Setup IInspector of type 'Glimpse.AspNet.Inspector.RoutesInspector'. | 
2016-07-01 16:45:53.9511 | DEBUG | Setup IInspector of type 'Glimpse.Core.Inspector.TraceInspector'. | 
2016-07-01 16:45:53.9511 | DEBUG | Setup IInspector of type 'Glimpse.EF.Inspector.EntityFrameworkInspector'. | 
2016-07-01 16:45:53.9711 | DEBUG | Methods inspected via proxy generation hook on type 'System.Web.Mvc.IDependencyResolver'. | 
2016-07-01 16:45:53.9811 | DEBUG | Replaced IDependencyResolver of type 'Autofac.Integration.Mvc.AutofacDependencyResolver' with proxy implementation. | 
2016-07-01 16:45:53.9811 | DEBUG | Setup IInspector of type 'Glimpse.Mvc.Inspector.DependencyInjectionInspector'. | 
2016-07-01 16:45:53.9811 | DEBUG | Methods inspected via proxy generation hook on type 'System.Web.Mvc.IControllerFactory'. | 
2016-07-01 16:45:53.9811 | DEBUG | Proxied IControllerFactory of type 'System.Web.Mvc.DefaultControllerFactory'. | 
2016-07-01 16:45:53.9811 | DEBUG | Setup IInspector of type 'Glimpse.Mvc.Inspector.ExecutionInspector'. | 
2016-07-01 16:45:54.0011 | DEBUG | Methods inspected via proxy generation hook on type 'System.Web.Mvc.ValueProviderFactory'. | 
2016-07-01 16:45:54.0011 | INFO | Replaced ValueProviderFactory of type 'System.Web.Mvc.ChildActionValueProviderFactory' with proxy implementation. | 
2016-07-01 16:45:54.0011 | INFO | Replaced ValueProviderFactory of type 'System.Web.Mvc.FormValueProviderFactory' with proxy implementation. | 
2016-07-01 16:45:54.0011 | INFO | Replaced ValueProviderFactory of type 'System.Web.Mvc.JsonValueProviderFactory' with proxy implementation. | 
2016-07-01 16:45:54.0011 | INFO | Replaced ValueProviderFactory of type 'System.Web.Mvc.RouteDataValueProviderFactory' with proxy implementation. | 
2016-07-01 16:45:54.0011 | INFO | Replaced ValueProviderFactory of type 'System.Web.Mvc.QueryStringValueProviderFactory' with proxy implementation. | 
2016-07-01 16:45:54.0011 | INFO | Replaced ValueProviderFactory of type 'System.Web.Mvc.HttpFileCollectionValueProviderFactory' with proxy implementation. | 
2016-07-01 16:45:54.0011 | INFO | Replaced ValueProviderFactory of type 'System.Web.Mvc.JQueryFormValueProviderFactory' with proxy implementation. | 
2016-07-01 16:45:54.0011 | DEBUG | Methods inspected via proxy generation hook on type 'System.Web.Mvc.IModelBinder'. | 
2016-07-01 16:45:54.0011 | INFO | Replaced IModelBinder of type 'System.Web.Mvc.HttpPostedFileBaseModelBinder' with proxy implementation. | 
2016-07-01 16:45:54.0011 | DEBUG | Methods inspected via proxy generation hook on type 'System.Web.Mvc.IModelBinder'. | 
2016-07-01 16:45:54.0011 | INFO | Replaced IModelBinder of type 'System.Web.Mvc.ByteArrayModelBinder' with proxy implementation. | 
2016-07-01 16:45:54.0011 | DEBUG | Methods inspected via proxy generation hook on type 'System.Web.Mvc.IModelBinder'. | 
2016-07-01 16:45:54.0111 | INFO | Replaced IModelBinder of type 'System.Web.Mvc.LinqBinaryModelBinder' with proxy implementation. | 
2016-07-01 16:45:54.0111 | DEBUG | Methods inspected via proxy generation hook on type 'System.Web.Mvc.IModelBinder'. | 
2016-07-01 16:45:54.0111 | INFO | Replaced IModelBinder of type 'System.Web.Mvc.CancellationTokenModelBinder' with proxy implementation. | 
2016-07-01 16:45:54.0111 | DEBUG | get_Binders method of type 'System.Web.Mvc.DefaultModelBinder' is not proxyable. | 
2016-07-01 16:45:54.0111 | DEBUG | set_Binders method of type 'System.Web.Mvc.DefaultModelBinder' is not proxyable. | 
2016-07-01 16:45:54.0111 | DEBUG | GetFilteredModelProperties method of type 'System.Web.Mvc.DefaultModelBinder' is not proxyable. | 
2016-07-01 16:45:54.0111 | DEBUG | Methods inspected via proxy generation hook on type 'System.Web.Mvc.DefaultModelBinder'. | 
2016-07-01 16:45:54.0111 | INFO | Replaced IModelBinder of type 'System.Web.Mvc.DefaultModelBinder' with proxy implementation. | 
2016-07-01 16:45:54.0111 | DEBUG | Setup IInspector of type 'Glimpse.Mvc.Inspector.ModelBinderInspector'. | 
2016-07-01 16:45:54.0111 | DEBUG | Methods inspected via proxy generation hook on type 'System.Web.Mvc.IViewEngine'. | 
2016-07-01 16:45:54.0111 | INFO | Replaced IViewEngine of type 'System.Web.Mvc.WebFormViewEngine' with proxy implementation. | 
2016-07-01 16:45:54.0111 | DEBUG | Methods inspected via proxy generation hook on type 'System.Web.Mvc.IViewEngine'. | 
2016-07-01 16:45:54.0111 | INFO | Replaced IViewEngine of type 'System.Web.Mvc.RazorViewEngine' with proxy implementation. | 
2016-07-01 16:45:54.0111 | DEBUG | Setup IInspector of type 'Glimpse.Mvc.Inspector.ViewEngineInspector'. | 
2016-07-01 16:45:54.1411 | DEBUG | RuntimePolicy set to 'Off' by IRuntimePolicy of type 'Glimpse.Core.Policy.ContentTypePolicy' during RuntimeEvent 'EndRequest'. | 
2016-07-01 16:45:54.5111 | DEBUG | get_Binders method of type 'System.Web.Mvc.Async.AsyncControllerActionInvoker' is not proxyable. | 
